gene_id	r2	gene_name
ENSG00000223972	0.0327542975130865	DDX11L1
ENSG00000238009	0.0433799743549455	RP11-34P13.7
ENSG00000268903	0.00776950376588075	RP11-34P13.15
ENSG00000237683	0.011873340492574	AL627309.1
ENSG00000239906	0.0096244268542369	RP11-34P13.14
ENSG00000237973	0.00886609209907784	hsa-mir-6723
ENSG00000228327	0.0253413529065945	RP11-206L10.2
ENSG00000237491	0.0641524371333233	RP11-206L10.9
ENSG00000225880	0.0313038554215087	LINC00115
ENSG00000228794	0.013951694554732	LINC01128
ENSG00000188976	0.001980584983967	NOC2L
ENSG00000187961	0.00730245058209252	KLHL17
ENSG00000187583	0.0189140476504218	PLEKHN1
ENSG00000187642	0.0129706567493513	C1orf170
ENSG00000188290	0.0133223900489935	HES4
ENSG00000187608	0.0275691041063043	ISG15
ENSG00000188157	0.00971326672805497	AGRN
ENSG00000217801	0.0274679473074393	RP11-465B22.3
ENSG00000131591	0.00419747595723321	C1orf159
ENSG00000186891	0.0128623556681882	TNFRSF18
ENSG00000186827	0.0052050277801564	TNFRSF4
ENSG00000176022	0.00959308361383913	B3GALT6
ENSG00000160087	0.00231647623665937	UBE2J2
ENSG00000169972	0.0071747038715217	PUSL1
ENSG00000224051	0.0033633750781603	GLTPD1
ENSG00000169962	0.0279335336854875	TAS1R3
ENSG00000242485	0.00750910141363626	MRPL20
ENSG00000272455	0.00617811918169577	RP4-758J18.13
ENSG00000215915	0.0409894966971537	ATAD3C
ENSG00000160072	0.013311516264405	ATAD3B
ENSG00000197785	0.00260884087714175	ATAD3A
ENSG00000160075	0.00372283847015271	SSU72
ENSG00000197530	0.00343055071135183	MIB2
ENSG00000248333	0.0106518598510498	CDK11B
ENSG00000269737	0.0827567659132937	RP11-345P4.7
ENSG00000269227	0.0431506404059178	RP11-345P4.6
ENSG00000189339	0.0574984448893454	SLC35E2B
ENSG00000008128	0.0722529012173101	CDK11A
ENSG00000227775	0.144307110048626	RP1-283E3.4
ENSG00000215790	0.0712543587714775	SLC35E2
ENSG00000231050	0.0686213201657835	RP1-140A9.1
ENSG00000067606	0.00579545408543388	PRKCZ
ENSG00000271806	0.016342184592638	RP5-892K4.1
ENSG00000182873	0.0060912338363918	RP11-181G12.2
ENSG00000269554	0.00773401163586476	AL590822.2
ENSG00000162585	0.0213748013909419	C1orf86
ENSG00000269896	0.0243021870484562	RP4-740C4.6
